"","PLOT","ENTRYNO","GID","ENTRY","DESIGNATION","PARENTS","SOURCE","REP","ROW","COLUMN","SEEDING_DATE","FLW","MATURITY","PLTHGT","TILLER","MC","Plotyield.H","MISSHILL","Plotyield.C","Plotyield.Adj","LODGING","Ldg.Sticks","GLH","BPH","BLAST","BB1","BB2","HARVESTDATE","REMARKS","Plotyield.Adj_resid_fixed"
"529",286,"A1205",3769677,"IR13A157","IR 92269-RIL 5-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6248",1,"2","22",20130608,73,103,115,20,10.1,2595,NA,2812,2713,NA,NA,3,5,0,"1","7","27-Sep",NA,0
"530",303,"A1206",3768749,"IR13A176","IR 92269-RIL 40-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6119",1,"1","28",20130608,92,122,120,18,10.5,2871,NA,2425,2988,"3",NA,3,9,1,"1","3/5","09-Oct",NA,0
"531",41,"A1207",3768757,"IR13A181","IR 92269-RIL 48-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6102",1,"9","26",20130608,91,121,128,19,11.3,2827,NA,3016,2916,"9","S",3,9,3,"1","7","10-Oct","aborted tips, shb",298.5
"532",114,"A1207",3768757,"IR13A181","IR 92269-RIL 48-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6102",2,"7","19",20130608,89,119,115,14,10,2216,NA,2298,2319,"5","S",NA,NA,NA,"1","7","07-Oct","poor, sterility,shb",-298.5
"533",103,"A1208",3768763,"IR13A185","IR 92269-RIL 54-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6113",1,"7","30",20130608,85,115,107,15,9.7,2829,NA,2849,2970,NA,NA,3,9,3,"1","7","03-Oct","shb, seed discolration",0
"534",190,"A1209",3768786,"IR13A194","IR 92269-RIL 75-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6567",1,"5","9",20130608,91,121,117,15,11.1,2821,NA,2938,2916,NA,NA,3,9,3,"1","7","09-Oct","aborted tips;seed dicoration",0
"535",62,"A1210",3768808,"IR13A204","IR 92269-RIL 97-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6600",1,"9","5",20130608,91,121,116,13,9.9,2038,1,2890,2135,"9","S",5,9,0,"1","7","09-Oct","panicle/seed  discoloration",4.54747350886464e-13
"536",78,"A1211",3768831,"IR13A210","IR 92269-RIL 120-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6154",1,"8","12",20130608,85,115,116,22,11.3,1710,6,2218,1764,NA,NA,3,7,5,"1","5","30-Sep","poor, seed discolration, shb",2.27373675443232e-12
"537",29,"A1212",3768842,"IR13A213","IR 92269-RIL 131-1-1-1-1","IR 68897 B/IR 60819-34-2 R","A6684",1,"10","29",20130608,89,119,115,21,10.4,2330,NA,2842,2428,NA,NA,3,7,0,"1","7","09-Oct","shb",0
"538",295,"A1213",3768853,"IR13A218","IR 92270-RIL 10-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6688",1,"2","31",20130608,93,123,120,15,11.5,2649,NA,2786,2726,NA,NA,3,7,4,"1","7","10-Oct","seed discoloration;poor",0
"539",18,"A1214",3768858,"IR13A221","IR 92270-RIL 15-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6570",1,"10","18",20130608,87,117,127,33,9.8,2812,NA,2289,2949,"5","S",5,7,0,"1","7","10-Oct",NA,-4.54747350886464e-13
"540",245,"A1215",3768863,"IR13A226","IR 92270-RIL 20-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6577",1,"3","20",20130608,94,124,131,17,11,2528,NA,2793,2616,"5",NA,5,9,3,"1","7","14-Oct",NA,-244
"541",292,"A1215",3768863,"IR13A226","IR 92270-RIL 20-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6577",2,"2","28",20130608,93,123,128,17,9.9,2963,NA,2044,3104,NA,NA,NA,NA,NA,"1","7","14-Oct","short flags",244
"542",263,"A1216",3768866,"IR13A228","IR 92270-RIL 23-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6578",1,"3","2",20130608,92,122,136,19,9.9,2144,NA,2567,2246,"7","S",3,9,0,"1","7","14-Oct",NA,4.54747350886464e-13
"543",290,"A1217",3768869,"IR13A229","IR 92270-RIL 26-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6662",1,"2","26",20130608,89,119,129,29,11.2,2862,NA,2525,2955,"5",NA,5,9,3,"1","7","09-Oct",NA,0
"544",152,"A1218",3768878,"IR13A234","IR 92270-RIL 35-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6645",1,"6","20",20130608,93,123,127,20,9.7,1920,NA,3106,2016,"5",NA,5,7,3,"1","7","10-Oct",NA,2.04636307898909e-12
"545",68,"A1219",3768891,"IR13A242","IR 92270-RIL 48-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6602",1,"8","2",20130608,92,122,132,17,10.8,2751,1,2316,2853,"9","S",5,9,3,"1","5","10-Oct","shb",-4.54747350886464e-13
"546",320,"A1220",3768905,"IR13A249","IR 92270-RIL 62-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6591",1,"1","11",20130608,91,121,131,20,11.6,2384,NA,1852,2451,"7","S",5,7,1,"1","7","14-Oct",NA,0
"547",215,"A1221",3768914,"IR13A252","IR 92270-RIL 71-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6626",1,"4","17",20130608,90,120,123,15,10.4,1933,NA,2604,2014,"9",NA,5,9,3,"1","5","09-Oct","bb, shb",2.72848410531878e-12
"548",157,"A1222",3768917,"IR13A254","IR 92270-RIL 74-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6129",1,"6","25",20130608,83,113,120,20,9.2,2703,NA,2663,2854,"7","S",5,7,3,"1","3/5","07-Oct","shb",-200.999999999999
"549",235,"A1222",3768917,"IR13A254","IR 92270-RIL 74-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6129",2,"3","30",20130608,82,112,114,15,10.9,3143,NA,2821,3256,"9","S",NA,NA,NA,"1","3/5","07-Oct",NA,201.000000000001
"550",80,"A1223",3768918,"IR13A255","IR 92270-RIL 75-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6106",1,"8","14",20130608,86,116,120,19,9.6,2434,NA,1252,2559,NA,NA,5,5,4,"1","7","03-Oct",NA,0
"551",144,"A1224",3768919,"IR13A256","IR 92270-RIL 76-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6743",1,"6","12",20130608,90,120,126,17,10.2,2634,NA,2810,2750,"7","S",5,7,0,"1","7","01-Oct",NA,0
"552",181,"A1225",3768923,"IR13A259","IR 92270-RIL 80-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6139",1,"5","18",20130608,88,118,114,19,10.4,2594,NA,1933,2703,NA,NA,5,5,3,"1","5","03-Oct","seed discolration",-4.54747350886464e-13
"553",3,"A1226",3768924,"IR13A260","IR 92270-RIL 81-1-1-1-1","IR 68897 B/IR 73013-95-1-3-2 R","A6640",1,"10","3",20130608,92,122,128,20,12.1,2144,NA,2144,2191,"5","S",5,7,0,"1","7","10-Oct","shb",4.54747350886464e-13
